,Campanhas de Doação - em andamento (mínimo 10 mil reais mobilizados),,,,,,,,,,
,Campanhas,Organizador (a) / Beneficiário (a),Cidade,Estado,Valor Doado,in Dollars,Doadores,Referência,Observação,,
111,Desafio 10x10,Edgar Gouvea,,BR,"R$ 183.416,85","$ 35.272,47",3681,https://desafio10x10.com.br/resultados,,,
112,DesafioCorona,Instituto da Criança,Rio de Janeiro,RJ,"R$ 176.571,22","$ 33.956,00",0,https://desafiocorona.com.br/,,,
113,Desafio Solidário,Lençois Paulista e Maracatuba,Lençóis Paulista,SP,"R$ 42.179,88","$ 8.111,52",115,https://www.kickante.com.br/campanhas/desafio-solidario,,,
114,DESPINA Viva!,Despina,Rio de Janeiro,RJ,"R$ 25.400,65","$ 4.884,74",76,https://www.vakinha.com.br/vaquinha/despina-viva,,,
115,Dias Melhores,Movimento Dias Melhores,Belo Horizonte,MG,"R$ 1.368.820,22","$ 263.234,66",2248,https://www.bsocial.com.br/causa/dias-melhores,,,
116,"Direito a quarentena é um privilégio, ajude as diaristas",Daniel Ruhman,São Paulo,SP,"R$ 46.994,15","$ 9.037,34",221,https://www.vakinha.com.br/vaquinha/direito-a-quarentena-e-um-privilegio-ajude-as-diaristas-do-br,,,
117,DIREITO SOLIDÁRIO,DIREITO SOLIDÁRIO,Porto Alegre,RS,"R$ 36.075,00","$ 6.937,50",280,https://apoia.se/direitosolidario,,,
118,Doação de Cestas Básicas - Grupo Alliance,Grupo Alliance,São Paulo,SP,"R$ 13.231,55","$ 2.544,53",65,https://www.kickante.com.br/campanhas/doacao-cestas-basicas-alliance,,,
119,Doação de cestas básicas durante a crise do Coronavírus,MARIO CAVALIERI,São Paulo,SP,"R$ 80.620,62","$ 15.503,97",239,https://www.vakinha.com.br/vaquinha/doacao-de-cestas-basicas-durante-a-crise-do-coronavirus,,,
120,DOE LIBERDADE!!!!!,Instituto Responsa,São Paulo,SP,"R$ 13.969,00","$ 2.686,35",67,https://www.vakinha.com.br/vaquinha/urgencia-corona-virus,,,
121,Dupla Ajuda,Dupla Ajuda,Batatais,SP,"R$ 17.930,00","$ 3.448,08",0,https://duplaajuda.abraceumacausa.com.br/,,,
122,Enfrentamento do COVID-19 - ACRE,Ricardo Martins,Rio Branco,AC,"R$ 37.160,23","$ 7.146,20",384,https://www.vakinha.com.br/vaquinha/enfrentamento-do-covid-19,,,
123,Esperança e Destino,Esperança e Destino,Suzano,SP,"R$ 31.708,00","$ 6.097,69",0,https://combatecovid.org/esperanca-e-destino,,,
